type,source,episodes,duration,rating,studio,num_related,hentai/romance,sports,youth,adventure/psychological,drama,fantasy/sci-fi,comedy,military,misc,Unknown,class
Movie,Original,1,31-59,PG - Children,other,1,False,False,True,True,False,False,False,False,False,False,Bad
OVA,Original,2,21-30,R - 17+ (violence & profanity),other,0,False,False,True,False,False,True,False,False,False,False,Questionable
Special,Unknown,7,1-20,PG-13 - Teens 13 or older,other,2,False,False,False,False,False,False,False,False,True,False,Questionable
Special,Unknown,1,21-30,R - 17+ (violence & profanity),other,1,False,False,True,True,False,True,False,False,False,False,OK
TV,Original,13,21-30,PG-13 - Teens 13 or older,other,0,False,False,False,True,True,True,False,False,False,False,OK
OVA,Original,10,1-20,G - All Ages,other,2,False,False,True,False,False,False,True,False,False,False,Bad
TV,4-koma manga,26,21-30,PG-13 - Teens 13 or older,other,3,False,False,True,False,False,False,True,False,True,False,Really good
Movie,Game,1,1-20,PG - Children,other,2,False,False,True,True,False,True,True,False,False,False,OK
TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,True,False,False,False,Really good
Movie,Unknown,1,31-59,G - All Ages,other,0,False,False,False,False,True,False,False,False,True,False,Bad
Special,Original,1,1-20,PG-13 - Teens 13 or older,other,2,False,False,True,False,False,False,False,False,False,False,Questionable
TV,Unknown,52,21-30,G - All Ages,other,0,False,True,True,False,False,True,False,False,False,False,Questionable
Movie,Unknown,1,31-59,G - All Ages,other,1,False,False,True,True,False,False,False,False,False,False,Bad
Movie,Manga,1,60+,G - All Ages,other,2,False,False,False,False,False,True,False,False,False,False,Really good
TV,Manga,12,1-20,PG-13 - Teens 13 or older,other,2,False,False,True,False,False,False,True,False,False,False,Questionable
Movie,Unknown,1,21-30,G - All Ages,Toei Animation,2,False,False,True,False,False,True,False,False,False,False,Bad
Movie,Original,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,True,False,Bad
OVA,Visual novel,2,21-30,PG - Children,other,1,False,False,False,True,False,False,False,True,False,False,Questionable
TV,Other,26,21-30,PG - Children,other,1,False,False,False,True,False,False,True,False,True,False,OK
TV,Original,13,21-30,PG-13 - Teens 13 or older,other,3,False,False,False,False,False,True,True,False,False,False,Really good
Movie,Unknown,1,1-20,G - All Ages,other,1,False,False,True,False,False,True,False,True,False,False,Bad
Movie,Original,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,True,False,False,False,Bad
OVA,Manga,2,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,True,False,False,False,False,Really good
Movie,Unknown,1,1-20,G - All Ages,other,2,False,False,False,True,False,False,False,False,False,False,Bad
TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,3,False,False,True,False,False,True,False,False,False,False,Really good
TV,Original,25,21-30,PG-13 - Teens 13 or older,Sunrise,1,False,False,False,False,False,False,True,False,True,False,Questionable
TV,Unknown,13,1-20,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Bad
Special,Unknown,1,21-30,PG - Children,other,1,False,False,True,True,False,True,True,False,False,False,Questionable
Movie,Picture book,1,31-59,PG-13 - Teens 13 or older,other,0,False,False,False,True,True,True,False,False,False,False,OK
OVA,Unknown,1,31-59,R+ - Mild Nudity,other,1,False,False,False,False,False,True,False,True,False,False,Questionable
TV,Original,22,21-30,R - 17+ (violence & profanity),other,1,False,False,True,False,False,True,False,False,False,False,Really good
Movie,Unknown,1,60+,PG-13 - Teens 13 or older,other,2,False,False,True,True,False,True,False,False,False,False,Questionable
Music,Music,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,False,False,True,False,Bad
TV,Manga,42,21-30,PG-13 - Teens 13 or older,Studio Pierrot,2,False,True,True,True,False,False,False,False,False,False,Really good
OVA,Game,1,31-59,PG-13 - Teens 13 or older,other,0,True,False,True,False,False,True,True,False,False,False,Bad
TV,Novel,13,21-30,PG-13 - Teens 13 or older,other,4,False,False,True,False,True,False,False,False,True,False,Really good
TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,3,False,False,True,False,False,True,True,False,True,False,Really good
TV,Original,26,21-30,PG-13 - Teens 13 or older,other,1,False,False,False,True,False,True,False,False,True,False,Questionable
ONA,Original,1,less than a minute,G - All Ages,other,0,False,False,False,False,False,False,False,False,False,True,Bad
TV,Unknown,25,21-30,PG-13 - Teens 13 or older,Madhouse,1,False,False,True,True,False,True,False,False,False,False,Questionable
TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,True,False,False,False,Really good
Special,Original,1,less than a minute,G - All Ages,other,0,False,False,True,False,False,False,False,False,False,False,Bad
TV,Other,141,21-30,G - All Ages,other,0,False,False,True,False,False,False,True,False,False,False,Bad
Special,Unknown,1,1-20,PG-13 - Teens 13 or older,Production I.G,3,False,True,True,False,False,False,True,False,False,False,OK
Special,Original,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,False,False,Really good
Special,Manga,2,21-30,PG-13 - Teens 13 or older,other,2,False,False,True,False,True,False,False,False,False,False,OK
Movie,Unknown,1,31-59,G - All Ages,other,1,False,False,True,False,False,True,False,False,False,False,Bad
Special,Unknown,1,60+,PG-13 - Teens 13 or older,Sunrise,2,False,False,True,False,True,True,False,True,False,False,Questionable
TV,Unknown,25,1-20,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Questionable
Movie,Unknown,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,False,False,Bad
TV,Card game,12,21-30,R - 17+ (violence & profanity),J.C.Staff,4,False,False,False,True,False,True,False,False,False,False,Really good
Music,Music,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,False,False,True,False,Bad
TV,Manga,12,1-20,R+ - Mild Nudity,other,2,True,False,True,False,False,False,True,False,False,False,OK
Special,Unknown,2,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,True,True,True,False,False,Questionable
TV,Manga,119,1-20,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Bad
Movie,Manga,1,60+,PG-13 - Teens 13 or older,other,2,False,False,True,False,False,False,True,False,False,False,Really good
OVA,Other,22,21-30,R - 17+ (violence & profanity),Madhouse,0,False,False,True,False,True,True,False,False,False,False,OK
Special,Manga,1,60+,PG-13 - Teens 13 or older,Toei Animation,1,False,False,True,False,True,True,False,False,False,False,Bad
TV,Manga,12,21-30,R - 17+ (violence & profanity),Madhouse,2,False,False,True,True,True,True,False,True,False,False,Really good
OVA,Unknown,2,31-59,PG-13 - Teens 13 or older,Sunrise,0,False,True,True,False,True,True,False,False,False,False,Bad
OVA,Unknown,2,1-20,PG-13 - Teens 13 or older,J.C.Staff,1,False,False,True,False,False,True,True,True,False,False,Bad
TV,Unknown,39,21-30,G - All Ages,other,2,False,False,False,False,False,True,True,False,False,False,Bad
OVA,Unknown,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,False,False,Bad
TV,Manga,12,21-30,PG-13 - Teens 13 or older,J.C.Staff,1,False,False,True,True,False,False,False,False,False,False,Really good
TV,Web manga,13,1-20,G - All Ages,other,2,False,False,True,False,False,False,True,False,False,False,OK
TV,Light novel,26,21-30,PG-13 - Teens 13 or older,other,3,False,False,False,True,False,True,True,False,False,False,Really good
TV,Original,12,21-30,PG-13 - Teens 13 or older,Toei Animation,3,False,False,False,False,False,True,False,False,False,False,Really good
TV,Manga,131,21-30,PG-13 - Teens 13 or older,Toei Animation,5,False,True,True,True,False,True,True,False,False,False,Really good
Special,Unknown,4,1-20,R - 17+ (violence & profanity),Production I.G,2,False,False,True,False,False,False,True,False,False,False,OK
TV,Unknown,12,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,True,True,True,False,Questionable
TV,Unknown,6,1-20,G - All Ages,other,0,False,False,True,True,False,False,False,False,False,False,Bad
TV,Manga,12,1-20,G - All Ages,other,2,False,False,True,True,False,False,True,False,False,False,OK
TV,Original,12,21-30,R - 17+ (violence & profanity),other,3,False,False,True,True,False,False,False,False,True,False,Really good
TV,Manga,12,1-20,G - All Ages,other,0,False,False,False,False,False,True,True,False,False,False,OK
OVA,Visual novel,1,21-30,G - All Ages,other,0,False,False,False,False,False,False,False,False,True,False,Questionable
TV,Original,25,1-20,R - 17+ (violence & profanity),other,2,False,False,False,False,False,True,False,False,True,False,OK
Movie,Original,1,60+,G - All Ages,other,1,False,True,True,True,False,True,False,False,False,False,Bad
TV,Game,25,21-30,PG-13 - Teens 13 or older,other,6,False,False,True,True,False,True,False,False,False,False,Really good
Movie,Visual novel,1,60+,PG-13 - Teens 13 or older,Studio Deen,2,False,False,True,False,False,True,False,False,False,False,Really good
OVA,Unknown,2,31-59,R - 17+ (violence & profanity),J.C.Staff,1,False,False,True,False,False,False,True,False,False,False,Bad
ONA,Game,13,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,True,False,False,True,False,Bad
Special,Unknown,1,60+,PG-13 - Teens 13 or older,TMS Entertainment,1,False,False,True,True,False,False,True,False,False,False,OK
Movie,Unknown,1,1-20,G - All Ages,other,0,False,True,False,False,False,False,True,False,False,False,Bad
OVA,Manga,6,1-20,G - All Ages,other,1,False,False,True,True,False,False,False,False,False,False,Bad
Special,Unknown,1,1-20,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,True,False,True,False,Bad
TV,Manga,175,21-30,PG-13 - Teens 13 or older,other,6,False,False,True,True,False,True,True,False,False,False,Really good
TV,Other,26,21-30,PG - Children,Madhouse,3,False,False,True,False,False,False,False,False,False,False,Bad
OVA,Unknown,1,31-59,PG-13 - Teens 13 or older,other,0,True,False,True,False,False,False,False,False,False,False,Bad
TV,Web manga,14,1-20,PG-13 - Teens 13 or older,other,1,True,False,True,False,False,False,True,False,False,False,OK
